title,address,description,compensation,employment type
AV/ IT Design Engineer,New York City,"Audiovisual Design Engineer

We are looking for a Senior AV Design Engineer to work within our Technology consulting practice. Reporting to the principal in charge, this position will focus on leading needs analysis and technology visioning with key clients, as well as leading our internal consulting teams and supporting our clients during all phases of our projects.

Responsibilities include:

Direct involvement in all aspects and phases of audio visual projects (i.e. programming, design, construction administration, etc.) 
Attend internal and client meetings as needed both onsite and remote 
Provide direction and create red lines / sketches to / for production team members and perform QC checks on all deliverables prior to release to clients, architects, construction firms, integrators, etc. 
Create and document AV budgets for projects 
Develop AV system designs and perform all necessary engineering tasks to ensure the designs meet client needs, expectations, and budgets 
Create, QC, and issue equipment lists, system drawings, details, system specifications, etc. 
Work in collaboration with the project manager to ensure the design intent, client needs / must haves, and any field design notes are covered by the system design 
Ensure industry best practices and company standards are used consistently and effectively 
Participate in building and maintaining company standards by conducting lessons learned sessions, by continuing education, and by participating in R&D for new products 
Oversee system integrator efforts as required 
Review submissions and shop drawings 
Respond to RFIs as required 
Assist directly and indirectly with all aspects of site coordination as needed 
Assist directly and indirectly with technical aspects of the system and with system commissioning as required 
Assist directly and indirectly with creation, maintenance, and updating punch lists as required 
Assist directly and indirectly with end user / client training, as required 
Review as-built and closeout documentation for accuracy 
Other duties as assigned

Required Qualifications

Expert knowledge of industry standards in AV system design and integration 
Excellent knowledge of trending technologies available today 
Excellent understanding of different technologies and the ability to properly identify the best solution based on the needs analysis 
Minimum 3 years of experience with designing and engineering AV systems 
Good understanding of heat loads, power requirements, lighting and acoustical environments and their effects on AV system design 
Good understanding of control system programming, GUI design, and the effects it has on AV system design 
Good understanding of audio principles for the purpose of AV design 
Good understanding of collaboration technologies and the options available (i.e. video conferencing end points, soft codecs, instant messaging applications, online meeting services, etc.) 
Familiarity with small, medium, and large scale projects 
Strong math aptitude and logical analysis skills 
Strong interpersonal skills that foster a team environment 
Ability to problem solve independently with a sense of urgency 
Excellent communication skills both verbally and in writing 
Be detail oriented and organized while being able to multitask and shift priorities with ease 
Working knowledge of AutoCAD software 
Working knowledge of various Microsoft Office tools (Word, Excel, Power Point) 
CTS Certification at a minimum and CTS-D certification mandatory within 12 months of employment
Desired Qualifications but NOT REQUIRED 

Infocomm CTS-D, CTS-I or CTS certification 
Any Infocomm training / education 
PMP certification 
AV manufacturer or industry related training and certifications (i.e. SynAudCon, Crestron, Extron, Biamp, etc.) 
Experience with IT and / or Security system design / integration 
Experience with control system programming 
Experience with indoor / outdoor digital signage technologies 
Any technology consulting experience

Full Benefits, Vacation, Sick Days, Bonuses, 401K plan","75,000.00 to 105,000.00",full-time
ELECTRICAL ENGINEER- ENTRY LEVEL,Midtown,"ELECTRICAL ENGINEER with a BSEE for a midtown engineering firm.
With or without experience. Permanent. Full time. Excellent benefits.

HANK DEVITO

TEL: 718-449-5745
EMAIL: HANK11214@HOTMAIL.COM","$50,000",full-time
Architectural/spatial design intern at art studio,,"Studio Ijeoma is an award-winning art/design studio which produces interdisciplinary projects ranging from a website on refugee migration to a music performance/large-scale sound-reactive light installation on mass incarceration. Our work has been presented by venues including MoMA, The Kennedy Center, Annenberg Center for Photography, Neuberger Museum of Art, Storefront for Art and Architecture, Istanbul Design Biennial and Design Museum.
 
We're currently looking for an architectural design intern interested in designing: 
-Sculptures/installations with Rhino, Grasshopper for music/art venues and public spaces

as well as building with:
-Laser cutter and CNC router
-Wood and metal tools and machines

Only selected candidates will be contacted for an interview.

Please send one single PDF which includes your required cover letter, resume, and portfolio (no greater than 10 MB) and include ""Architectural Intern"" in the subject line. Submissions without these requirements will not be considered.",stipend,employee's choice
Quality Engineer,Phillipsburg,"To apply for this position, please",Competitive Pay,full-time
Fulltime Designer – Creative Landscape and Urban Design Firm,SoHo,"Fulltime Designer – Creative Landscape and Urban Design Firm

Internationally renowned landscape and urban design firm seeks bright, creative and enthusiastic Designer ready to undertake minimal administrative duties and business development/marketing tasks. The applicant should be detail oriented, highly-organized with excellent communication and interpersonal skills.  Ideal candidate will have a good level of digital design skills and graphic ability to represent design ideas.

Administrative Duties to include:
•	Managing light day-to-day administrative operations (Reception, Answering phone…)
•	Maintaining website, Instagram accounts 
•	Assisting with the development and graphic design of responses to RFQ/RFP and marketing materials
•	Addressing press/publication requests

Software:
Windows proficient (required)
Microsoft Office (required)
Adobe Creative Suite (required)
Rhino, AutoCAD (preferred)


Qualification: Bachelor's relating to the field of landscape architecture, urban design, or architecture and prior experience working in a creative environment are required.

Compensation to be discussed

This is a fulltime position: 40 hours a week, 8 hours a day.


Application Instructions:
Please email your resume and portfolio to info@balmori.com (attachments should be no larger than 5MB.)",To Be Discussed,full-time
Project Manager/ Structural Engineer,,"Small structural / construction engineering firm seeks an entry/mid level engineer / project manager. Ideal candidate should be proficient in AutoCAD 2009 or greater and should have strong English skills. P.E license is a plus. Your daily activities would include project construction project management, answering / making phone calls, performing site visits, meetings, CAD drafting of logistics plans / structural designs, design of temporary structures. Work 8 hours, 7:30am to 4 pm (½ hr lunch) Monday through Friday. Office is located in East New York, Brooklyn. REPLY WITH RESUME PASTED WITHIN BODY OF EMAIL. ATTACHMENTS WILL NOT BE OPENED. Only qualified candidates will contacted.",$26.50 to $38.50 per hour depending on experience and abilities,full-time
Auto Cad Draftsperson,Wyandanch,"Corinthian Cast Stone Inc. is an architectural products manufacturer; specializing in cast stone, natural stone (exterior/ building envelope) and other exterior building materials.

We are looking for: AutoCAD draftspersons; four positions open

Requirements:

Proficient use in AutoCAD, and Inventor ( Solid works or Rhino a plus )
3 + years experience architectural or bespoke shop drawings
Either BS in architecture or equivalent field experience
Excellent organizational, communication ( both written and verbal) skills
Exceptional work ethic.
Full-time position with benefits and excellent growth opportunity. Hours are flexible. Overtime is available. Salary is commensurate with your experience and potential.

About Corinthian Cast Stone Inc.Corinthian Cast Stone Inc., a manufacturer of architectural and structural cast stone components for residential, commercial, institutional and government projects. Innovation is a core philosophy of the company from its use of 3D laser scanning for field measuring and 3 and 5 axis CNC milling and 3D printing for mold manufacturing to the development and release of Corinthian Restoration Mortar for stone patching , Corinthian Cast Stone is leading the industry in innovation.",Full-time position with benefits and excellent growth opportunity. Hours are flexible. Overtime is available. Pay Rate is commensurate with your experience and potential.,full-time
"Architectural Designer,Intern/Junior",Long Island City,"Custom metal fabrication shop seeks intern or Junior Architectural Designer with a passion for fabrication. Work on a wide range of projects including replication of architectural metal cornices for landmark buildings in NYC, custom architectural elements, and other unique projects. See your drawings and digital models come to life as they are built before your eyes in our shop and then see them installed on buildings in NYC.

Ideal candidates should have a strong commitment to craft, precision and accuracy, Responsibilities will include site measurements, design sketches, shop drawings as well as general office duties. Excellent ability in AutoCAD as well as digital modeling in Rhinoceros is required as well as the ability to clearly and accurately convey the desired results through drawings,notes and verbal instruction. Hands on experience in construction, fabrication and/ or CNC production is also a big plus.",n/a,full-time
"High End Residential Interiors junior staff architect, Full Time",Midtown,"We are a prominent residential design firm near Bryant Park, NYC with local, national and international projects.  Excellent opportunity to work at all project levels including occasional site visits.

Requirements
1-3 years experience in interiors
AUTOCAD
Microsoft Word+Excel.  
Modeling in Rhino, VRay, Photoshop is helpful
Degree in architecture

Job focuses on client presentation drawings: plans and interior elevations showing furniture, floor patterns and decorative finishes.  Also production of construction drawings: interior elevations, sections, custom cabinetry and millwork details, specifications for appliances, plumbing fixtures, stone/tile, finishes. Some furniture design.  

Please e-mail your resume to resumes@robertcouturier.com. 
Absolutely no phone calls, please!",Based on Experience,full-time
Junior/Intermediate Architect,,"We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.

Qualifications:

•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.

Work description:

•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.

Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.",Commensurate on experience,full-time
Facade / Building Envelope Architect,TriBeCa,", New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit",Commensurate with experience,full-time
Looking for A CAd drafter,Brooklyn,Looking somone  proficient  in CAD also Sketchup  or ReVit. Can be a student.,20 to 40 dollars an hour,full-time
NYC DOB_Architectural Services- filing set_ Freelancer,Midtown,"Architectural Services- filing set_ Freelancer\Independent Contractor

Job Description
We are seeking an Architectural Associate/CAD drafter to help with NYC DOB filing sets for commercial renovations. As an Architectural drafter you will work on Restaurant projects primarily in Manhattan.

RESPONSIBILITIES:
• Survey existing and as-built conditions on sites located throughout the NYC area
• Create Architectural Drawings and Construction Documents (Alteration Type 1 and Type 2)
• Zoning Analysis and Diagrams
• Drawing existing and proposed sections and elevations
• Update drawing sets based on NYC Plan Examiner Objections
• Prepare DOB filing set packages and coordinate with Expediter to file with Department of Buildings.


Position is an independent contractor/ freelancer",TBD,full-time
Upholsterer,Richmond Hill,"Busy Upholstery shop in Richmond Hill, Queens is hiring for an upholsterer. Need at least 3 yrs. of proven experience. Salary neg. and based on experience. Please do not call if you are not qualified. 718-847-2843",Based on Experience,full-time
JUNIOR ARCHITECTURAL DESIGNER WITH REVIT EXPERIENCE,"Southport, CT","Geddis Architects PC. an award-winning architecture firm, seeks a professional with a B.Arch. or M.Arch degree and a minimum of 3 years’ experience to join our ARCHITECTURE team.

We are a full-service firm in Southport, CT. Our work ranges from public schools, civic buildings, health care to senior housing. Our office is a collaborative studio. We are seeking a thoughtful, detail-oriented architectural designer with exceptional REVIT skills. 

Responsibilities may include involvement in all phases of design and construction documentation.

You will primarily be working on public schools. 

Requirements include:
• Revit Skills
• Familiarity with building codes
• Strong communication skills
• The ability to work in a team 

Please email your resume and portfolio link to the following: info@geddisarchitects.com",to be discussed,full-time
DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED,,"We are looking for a DOB Licensed Construction Superintendent.

Job Description:
•	Visit various sites to ensure safety per DOB and OSHA standards.
•	Maintain daily paperwork such as logbooks, field safety checklists.
•	Review and analyze detailed construction drawings.
•	Communicate with competent persons on sites regarding safety requirements.
•	When necessary communicate with DOB inspectors regarding safety issues.

Qualifications/Requirements:
•	Minimum 5 years’ experience in general construction 
•	DOB Construction Superintendent license
•	Proficiency in reading plans, blueprints, specifications
•	Knowledge of DOB building codes and NYC Construction Codes
•	Ability to professionally deal with NYC DOB Inspectors
•	Strong communication skills and computer literacy
•	Excellent problem-solving skills and willingness to learn
•	Sound judgment and ethical conduct

Preferred Skills:
5 to 7 years related experience or an equivalent combination of education, training and/or experience 
Architectural or engineering background is a plus

Experience:
Construction: 5 years (Required)
Blueprint Reading: 3 years (Required)
Site Superintendent or Construction PM: 5 years (Preferred)
License:
Driver's License (Required)","$100,000 - $120,000 a year",contract
Junior Designer,Southport,"Award winning design firm in Southport, CT seeks a Junior Designer. Qualifications include: Bachelor's or Master's Degree in Architecture and 1-3 years of experience in the architectural profession. Strong attention to detail and the ability to be flexible and work on a variety of projects; Strong organizational, time management and problem solving skills; Work well individually and as part of a team; Fluent in English with strong written and verbal communication skills; Legal authorization to work in the US.  Please note, this is an entry level position. Please email cover letter with salary requirements, resume and portfolio.  Resumes submitted without salary requirements will not be considered.",competitive,full-time
Hotel Engineer Wanted!,Financial District,"The World's Tallest Holiday Inn is seeking a Full Time Engineer to:

For more information see details below and to APPLY NOW please click link:


JOB OVERVIEW: Perform general maintenance work to ensure hotel maintenance quality standards are achieved and maintained.

REPORTS TO:	Chief Engineer

ESSENTIAL JOB FUNCTIONS: 

1.	Assist with preventative maintenance and complete report work orders such as replacing ceiling tiles, light bulbs, patching vinyl, etc., to maintain the hotel and keep the product quality standard. 
2.	Perform preventative maintenance assignments on a scheduled basis (e.g., ""room care"").
3.	Assist in checking electrical systems such as air conditioning controls, television sets, lighting systems, and make minor repairs and/or replacement.
4.	Assist in checking and making routine repairs and assist on major repairs of all hotel equipment including small appliances, kitchen equipment, laundry equipment, boilers, pool equipment, HVAC, hand and power tools and general plumbing systems and fixtures such as pipe lines, toilets and sinks, kitchen and laundry equipment.
5.	Service the hotel's pool, including adjusting chemicals and cleaning filters; completing maintenance request forms and record logs.
6.	Maintain the building exterior and ""curb appeal"" (e.g., snow removal, lawn care, painting, gardening).
7.	Refurbish furniture and fixtures within guest rooms such as cabinets, tables, chairs, doors windows and counters. Paint and finish furniture and fixtures if needed. 
8.	Respond in a courteous manner to all guest questions, complaints, and/or requests to ensure strong guest satisfaction. 
9.	Exposure to extreme temperatures.
10.	Operation of heavy machinery.
11.	Comply with attendance rules and be available to work on a regular basis.
12.	Perform any other job related duties as assigned.

Prior Hotel experience Preferred.  Must have the ability to communicate in English.  Self-starting personality with an even disposition.    Maintain a professional appearance and manner at all times.     Can communicate well with guests.  Must be willing to “pitch-in” and help co- workers with their job duties and be a team player.  Climbing, reading, standing, walking and routinely lifting 25 lbs to 50 lbs.   Must be able to receive instructions and communicate progress of work assignments.",Hourly,full-time
ARCHITECTURAL MODEL MAKER,new haven,"Company: KMCA Location: New Haven, CT 
Job Description
KMCA, Inc., one of the nation’s most sophisticated and advanced model-making studios, is seeking both entry level or experienced model makers to join its team. 

If you have experience in architectural and/or engineering model making, proficiency in CAD/CAM software, experience in project management, skill in laser cutting and 3D printing, knowledge in CNC milling, we want to talk to you.   

Visit our website KMCA.com to learn more and see projects from around the world.",based on experience,full-time
Junior Project manager/ cad designer,"Bronx, NY","Ornamental Metal and Glass Works company seeking junior project manager to:

- Manage multiple construction projects simultaneously 

- Surveying 

- Cad drawing on surveying

- Coordinate and oversee the in-house project team, designers, engineer, production, assembly and site production

- Have an understanding of the bid and contract documents, contracts, scope drawings and bid pricing 

- Develop, track update and report on the details project schedule for design, engineering, mock ups, production and installation activities. 

- Pricing and purchasing of materials, equipment and subcontractors.

- Build and maintain relationship with clients subcontractor and supplier 

- Analyze completed project for timeliness, quantity and budget vs cost. 

- Experience and requirements: 3+ years in Ornamental Metals and Glass works experience preferred. Valid Driver's License, Self-motivated with a positive approach and strong time management skills.  Highly organized, detail oriented. Bilingual a plus. 

- Computer Skills: Be fluent in MS office Word, Excel and AutoCad drafting. 

Salary based upon experience. 

When replying please send samples of your drafting works, bidding",Based upon experience $20 - $45 an hour,full-time
Inside Sales Engineer,Midtown,,DOE,full-time
Construction Estimation,Roslyn Heights,"Job Description

Established Flooring Company located in Roslyn Heights is currently seeking a Flooring Estimator. The ideal candidate for this position should have extensive knowledge in Hardwood Flooring, VCT, LVT, and Carpet material and installation.

Job duties

    Download floor plans and use software system(AutoDesk, CAD, Callidus, etc) to measure plans accurately and do take offs
    Work with GCs and end users to make sure plans are being completed 100%, and also keep it up with changes, addendums, and VE options
    Prepare all information on to a spreadsheet for Project Managers
    Prepare shop drawings and submittals
    On occasion help with pricing and preparing proposals for customers
    Work with project managers to assure projects have all materials accounted for


Knowledge and Skills

    Carpet pattern lay out
    Flooring & construction experience and previous estimating experience are plus
    Strong Computer Skills (Proficient in Excel, word, office, Dropbox, etc.
    Strong Communication skills, excellent organizational, and problem-solving skills
    Experience with reading blueprints and project specifications
    Ability to estimate projects
    Self-motivated with keen attention to detail
    Ability to work as a team on projects as well as take initiative and work alone",Based on Experience,full-time
Intermediate Architect,TriBeCa,"Small Architectural Practice seeks Intermediate Architect with minimum 5 years experience, and a BA in Architecture.
We are seeking a highly motivated Architect with experience in a variety of Project types, as well as experience in working with City Agencies.
Applicants should possess the ability to work with other Professionals and clients as well.
Applicants should have excellent Auto Cad skills 
Applicants must be a US Citizen or have a Green card
The successful candidate will work on all phases  of projects and should have strong verbal written and visual communication skills",Salary comensurate with Skill level,full-time
Construction Supervisor,Floral Park,"General Contracting company is looking for a Superintendent with  experience with public construction projects with NYC SCA/ 

Responsibilities:
•	Immediately developing a detailed understanding of all project drawings, specifications, general conditions, and contracts;
•	Active supervision of direct labor and jobsite including troubleshooting solutions to construction means and methods issues that arise; 
•	Scheduling and managing field and project meetings; 
•	Coordinating with and maintaining positive relationships with project architects, engineers, and customers;
•	Managing subcontractors to make sure they perform as required within schedule; 
•	Understanding scopes of work and timely managing deviations per contract provisions;",negotiable,full-time
ESTIMATOR NEEDED,QUEENS,"WE ARE LOOKING FOR A EXPERIENCED CONSTRUCTION ESTIMATOR WHO IS ABLE TO READ PLANS AND ABLE TO PRICE OUT PROJECTS BOTH FOR NYCHA AND PRIVATE WORK. PROJECTS INCLUDE CONCRETE WORK, BUILDING WORK, ROOFING WORK. ESTIMATOR HAS TO BE ABLE TO PRICE PROJECTS IN TIMELY ORDER AND SHOULD BE COMFORTABLE WITH THIS LINE OF WORK.",estimator shall be paid at a monthly bases which shall be agreed upon after being selected,contract
Low Voltage Estimator needed,,"We are looking for a low voltage estimator.

Job Responsibilities:

Assist in preparing low voltage estimates by assigning material and labor values to take-offs.
Assist with preparing quantity take-offs of low voltage systems.
Identify missing information in plans and specs that might impact accurate pricing
Prepare spreadsheets logs and reports and document your work
Create take-off documents, participate in bid reviews, and calculate material, labor, and expense needs.
Effectively utilize company suppliers and contractors to meet bid requirements.
Complete material and labor count.
Conducting project take-offs to determine equipment counts based upon project specifications and drawings
Develop to become competent with reviewing drawings and specifications and preparing detailed estimates, including assigning material and labor values to take-off under guidance of others.
Prepare, maintain and present computer generated spreadsheets, logs and reports.
Perform quantity takeoffs and assist with preparing estimates
Read and comprehend construction documents

Qualifications:

Competent with reviewing drawings and specifications
Knowledge with (PDF annotation software) or similar software.
Strong Excel or similar spreadsheet software skills
Some knowledge in low voltage systems",Based on Experience,full-time
Kitchen Designer/AutoCAD/Sales,Flatiron,"KITCHEN DESIGNER/ 
Custom kitchen & millwork fabricator is seeking an intermediate Kitchen Designer/ Salesperson to work in our Flatiron showroom. We prefer an individual experienced in kitchen, closet, & bath design. Training in our kitchen systems will be provided, but technical & sales ability must be present.

We are looking for a superstar employee who can work closely in conjunction with the owner/ architect & additional designer as a 3-person team and is capable of wearing many hats & taking responsibility for their work. This job is full time, 40 hours a week. We are looking for a long term employee. Someone who will learn & grow with the company.


RESPONSIBILITIES:
> Greeting customers, generating sales leads, & closing sales
> Ability to use AutoCAD to modify or update existing 2-D drawings & develop new drawings             from scratch, including electrical/ plumbing diagrams for kitchen appliances.
> Cost Estimating using Excel & Typing up proposals in Microsoft Word
> Project management including site survey, budgets, vendor follow-up, & scheduling deliveries
> Some office management (answering phones, scheduling)


REQUIREMENTS:
> People-person, friendly, outgoing, excellent customer service & sales skills
> Proficient with AutoCAD 2010 or higher (no CAD training provided)
> 3D rendering with Google Sketch-Up or Rhino is a big plus!
> Knowledge of custom cabinetry (kitchens, baths, and millwork) & kitchen systems preferred
> Interior or Industrial or Architecture design degree from a 2-4-year school, or final-year student
> Some experience in kitchen/bath/closet/millwork industry preferred
> Be organized, punctual, detail-oriented, and able to juggle multiple projects!


Please include cover letter with salary requirements & be prepared to demonstrate CAD ability upon interview. EOE. Salary DOE. Must sign contract for 1 yr. employment after 90 day probationary period.

Please DO  NOT  CONTACT about other services or products or commercial interest",Salary DOE,full-time
JUNIOR ARCHITECT,Flatiron,"Bluarch, a boutique award-winning architecture and design firm is seeking a mature, talented, and self-motivated JUNIOR ARCHITECT with a proven professional track record. 

The perfect candidate has the ability to work independently and manage simultaneous deadlines on architectural ground-up and interior design projects. 

Qualifications:

- Bachelor or Graduate degree in architecture or interior design 

- 2-5 years of experience with an architecture degree

- Excellent AutoCAD drafting skills

- Excellent 3D modeling and rendering skills 

- Proficiency with graphics software (InDesign, Photoshop, Illustrator) 

- Strong communication skills",INCLUDE SALARY REQUEST WITH YOUR RESUME AND PORTFOLIO,full-time
Project Architect- Multifamily Residential/New Construction,"New York, NY","Established architecture practice, seeking a Project Architect to join its New York office. Will be exposed to a range of work, including but not limited to, high rise residential, hotel and other high design intent, high budget commercial mix use projects. 
Will work on a team to produce high quality built projects in NYC. 
Schematic design to construction administration. 
Experience with Revit and AutoCAD.
4+ years experience working in a professional architectural setting.",Dependent on experience level,full-time
Architectural Draftsperson/Project architect,Brooklyn,"Architectural design firm located in Brooklyn specializes in new construction and renovation of commercial, residential and mixed-used buildings currently seeking a full time Architectural Drafter to join our team.

Required Skills:

Working in a team at all phases of a project design, and submission to the DOB, construction documents, construction administration, and project administration of building projects from start to finish under the direction of  Staff.

Knowledgeable of  building code and zoning requirements effect the design of the projects.

Review DOB objections with the team to develop best strategies for addressing objections that still meet both code, and design intent.

Translate the firm's design intent into design drawings, submissions to the DOB, and construction documents while ensuring the integrity of that design intent throughout the life of the project.

*Able to read consultant drawings for building projects and work with the project team to integrate consultant's scope of work into the firm's drawings.  Such consultant drawings you should have experience with include structural, mechanical, electrical, plumbing, geotech, expeditors, lighting, and acoustical consultants.

Addressing redlines, markups, comments, and direction from Senior Staff and revising project drawings and documents accordingly.

Proficient in completing Quality Assurance Checklists on projects.

Self-checking work and cross-checking work across other drawings for the project to ensure drawings are always the most current and accurate.

Able to review Contracts and Project Schedules to support team in ensuring projects stay on schedule, that work on the project is performed according to Contract scope, and advise Senior Staff if you feel an item is requested on a project that might be out of project scope per the project's Contract.

Support Senior Staff in ensuring client satisfaction on projects.

Advise Senior Staff whenever you are given conflicting priorities, feel you'll miss a deadline, are struggling with a task or need more direction so a collaborative solution can be made together.

 
Qualifications:

Degree in either Bachelor of Architecture or Architectural Technology.

0-5 years work experience, at least 1 year of Experience drafting in the AEC Industry preferred.

Ability to think creatively and strategically to develop solutions for the team.

Complex problem solving and decision making skills.

Ability to work both independently and collaboratively while being a team member who enjoys succeeding in a team environment.

Flexibility in a fast-paced changing environment.

Experience with NYC building code, NYC Energy Code, NYC Zoning Resolutions, NYC Department of Buildings filing processes, and ADA code knowledge preferred.

 
Salary and Benefits:

Salary commensurate to experience. we offer many benefits to employees including healthcare contribution, transit check participation, direct deposit, flexible work hours, paid half hour lunch breaks, time off for ARE testing, time off for holidays and most USA holidays, and a Personal Time off and Unpaid Time off Plan.

To apply, please send resume, cover letter, and work samples.",60k to 110k yearly - commensurate with experience,full-time
AutoCAD/ Solidworks Architectural Draftsman,,"We are a high end Architectural Metalwork company located in Maspeth, NY. 
We are currently seeking for a motivated and detail oriented individual for Drafting  position. 

Requirements:

2 years + experience or recently graduated candidates 
Be able to follow instructions and directions
Be computer literate
Be proficient in AutoCAD (2D/3D) and Solidworks 
Be able to work in model and paper space
Knowledge of metalworking materials and techniques (preferred)
Problem solving skills
Ability to multi-task, prioritize, set and meet deadlines
Flexible to help doing office clerk duties 


Responsibilities:

Provide accurate and complete shop drawings based upon architectural drawings and specifications. 
Resolve inconsistencies and other issues in architectural drawings and specs.
Revise drawings from red-line markups
  

Compensation is based on experience and proficiency 

If interested, please forward your Resume, Cover Letter, and samples of previous work in PDF form. 
Also include expected salary range.",TBD,full-time
NYS Licensed Architect or PE,,"Architectural Design and Consulting firm is looking for a NYS Licensed professional to review and consult on our projects. A great opportunity to become part of a knowledgeable and expending team experienced in residential and commercial projects.

Great opportunity to joint venture, we turn around over 100 project yearly and expending",TBD,contract
Junior Architectural Designer,Midtown,"KGA is a small, twenty-nine year old firm based in Chelsea with a wide array of projects, including commercial, institutional, multi-family residential, single-family residential, and temporary installations. Employees experience all aspects of design, from Schematics through Construction Administration.

Kossar + Garry Architects, LLP (KGA), is looking for a talented and creative individual to fill a Junior Designer position with minimum 1 year of U.S. experience.

Requirements:
- Minimum Bachelors of Architecture.  Only applicants with Bachelors of Architecture will be considered.
- Professional Revit Experience.
- Strong graphic skills required, including expertise in AutoCAD, Revit, Rhino, Adobe Creative Suite, and 3D modeling software.
- Ability to communicate fluently in English, verbally and in writing, with clients, consultants and contractors, is essential.
- Strong multi-tasking and organizational skills are required.
- Word and Excel familiarity is a plus.
- Familiarity with NYC Zoning and Building Codes is a plus.

Please send your resume and work samples in PDF format, max of 5mb.
Include SALARY requirement on your cover letter.",Commensurate with Experience,full-time
ESTIMATOR NEEDED*,"QUEENS, NY","We are a Queens based commercial union drywall & acoustical contractor seeking a candidate to become park of our estimating team.  Both junior & senior level positions are available. 

Responsibilities include:
- Experience with OnCenter Software including OnScreen Takeoff
- Preliminary review of bid documents for each project
- Communication with general contractors regarding PFIs & questions.
- General understanding of supplier & specialty item pricing
- Must be proficient in Microsoft Word, Excel & Outlook
- Organizational skills which allow you to manage work loads and meet deadlines",Salary based on experience and includes Company paid Benefits and 401K.,full-time
Construction Superintendent,Downtown,"General Contractor looking to hire an experienced Project Super. Applicants must possess a proven track record to deliver top quality construction project superintendent services on time, on budget and exceeding customer expectations. 
Must Have over 10 years experience. 

Responsibilities:
•	Become familiar with plans, specifications, site, local codes, local officials and inspection procedures
•	Develop the project schedule
•	Coordinate all construction services and activities
•	Schedule all, subcontractors and deliveries as needed so as to not adversely impact the project schedule
•	Maintain project schedule with sub contractors
•	Schedule and attend all required inspections
•	Complete and submit all paperwork as required
•	Establish and maintain benchmarks and reference points for ongoing layout of work
•	Work with owner, owner’s rep, architect and subcontractors to resolve any conflicts that may arise and communicate any such conflicts immediately to Project Manager
•	Communicate, implement and enforce company safety policy as it pertains to assigned project
•	Attend job meetings and/or any other meetings as may be required for the successful and timely completion of current project
•	Attend walk through at job completion to ascertain punch list
•	Facilitate weekly safety meetings at job site
•	Execute punch list in a timely manner and obtain all necessary signed acknowledgments
•	Close out field office and project as necessary

•	Prior construction experience in the schools/educational facilities sector preferred.
•	A valid NYS driver license.
•	Proficiency in MS Word/Excel and Outlook.

EEO/AA",Range from $80K to $130K,full-time
